"Rank","School","Town","Alternate"
138,"University of La Verne","La Verne, CA",
139,"Hofstra University","Hempstead, NY",
140,"New Jersey Institute of Technology","Newark, NJ",
141,"New School","New York, NY",
142,"Oregon State University","Corvallis, OR",
143,"Arizona State University","Tempe, AZ","ASU "
144,"George Mason University","Fairfax, VA","GMU "
145,"Rutgers, the State University of New Jersey, Newark","Newark, NJ",
146,"St. John's University","Queens, NY",
147,"University at Albany, SUNY","Albany, NY",
148,"University of Illinois, Chicago","Chicago, IL","UIC"
149,"University of Mississippi","University, MS","Ole Miss "
150,"University of Texas, Dallas","Richardson, TX",
151,"Mississippi State University","Mississippi State, MS",
152,"University of Alabama, Birmingham","Birmingham, AL",
153,"Polytechnic Institute of New York University","Brooklyn, NY",
154,"University of Idaho","Moscow, ID",
155,"University of Wyoming","Laramie, WY",
156,"Illinois State University","Normal, IL","ISU "
157,"Pacific University","Forest Grove, OR",
158,"University of Cincinnati","Cincinnati, OH",
159,"Adelphi University","Garden City, NY",
160,"Florida Institute of Technology","Melbourne, FL",
161,"Texas Tech University","Lubbock, TX",
162,"University of Hawaii, Manoa","Honolulu, HI",
163,"University of Maine","Orono, ME",
164,"University of Maryland, Baltimore County","Baltimore, MD",
165,"University of North Dakota","Grand Forks, ND","UND "
166,"Widener University","Chester, PA",
167,"Azusa Pacific University","Azusa, CA",
168,"University of Rhode Island","Kingston, RI","URI "
169,"Virginia Commonwealth University","Richmond, VA","VCU "
170,"Biola University","La Mirada, CA",
171,"Bowling Green State University","Bowling Green, OH","BG "
172,"George Fox University","Newberg, OR",
173,"Pace University","New York, NY",
174,"South Carolina State University","Orangeburg, SC","SCSU "
175,"Utah State University","Logan, UT",
176,"Immaculata University","Immaculata, PA",
177,"University of Louisville","Louisville, KY",
178,"West Virginia University","Morgantown, WV","WVU "
179,"Ball State University","Muncie, IN",
180,"University of Alabama, Huntsville","Huntsville, AL",
181,"University of Central Florida","Orlando, FL",
182,"Western Michigan University","Kalamazoo, MI","WMU "
183,"Kent State University","Kent, OH",
184,"Montana State University","Bozeman, MT",
185,"San Diego State University","San Diego, CA","SDSU "
186,"Southern Illinois University, Carbondale","Carbondale, IL",
187,"St. Mary's University of Minnesota","Winona, MN",
188,"University of Hartford","West Hartford, CT",
189,"University of Massachusetts, Lowell","Lowell, MA",
190,"University of South Florida","Tampa, FL",
191,"Andrews University","Berrien Springs, MI",
192,"North Dakota State University","Fargo, ND","NDSU "
193,"University of Colorado, Denver","Denver, CO",
194,"University of Montana","Missoula, MT",
195,"University of Nevada, Reno","Reno, NV",
196,"University of North Carolina, Charlotte","Charlotte, NC","UNC Charlotte"
197,"University of North Carolina, Greensboro","Greensboro, NC","UNC Greensboro"
"Unranked","Barry University","Miami Shores, FL",
"Unranked","Central Michigan University","Mount Pleasant, MI",
"Unranked","Clark Atlanta University","Atlanta, GA",
"Unranked","Cleveland State University","Cleveland, OH","CSU "
"Unranked","East Carolina University","Greenville, NC","ECU "
"Unranked","East Tennessee State University","Johnson City, TN","ETSU "
"Unranked","Florida A&M University","Tallahassee, FL","FAMU "
"Unranked","Florida Atlantic University","Boca Raton, FL","FAU "
"Unranked","Florida International University","Miami, FL","FIU "
"Unranked","Georgia Southern University","Statesboro, GA","GSU "
"Unranked","Georgia State University","Atlanta, GA",
"Unranked","Golden Gate University","San Francisco, CA",
"Unranked","Idaho State University","Pocatello, ID",
"Unranked","Indiana State University","Terre Haute, IN",
"Unranked","Indiana University of Pennsylvania","Indiana, PA","IUP "
"Unranked","Indiana University-Purdue University, Indianapolis","Indianapolis, IN",
"Unranked","Jackson State University","Jackson, MS",
"Unranked","Long Island University, C.W. Post Campus","Brookville, NY",
"Unranked","Louisiana Tech University","Ruston, LA",
"Unranked","Morgan State University","Baltimore, MD",
"Unranked","New Mexico State University","Las Cruces, NM","NMSU "
"Unranked","North Carolina A&T State University","Greensboro, NC","A&T "
"Unranked","Northern Arizona University","Flagstaff, AZ","NAU "
"Unranked","Northern Illinois University","DeKalb, IL",
"Unranked","Nova Southeastern University","Ft. Lauderdale, FL",
"Unranked","Oakland University","Rochester, MI",
"Unranked","Old Dominion University","Norfolk, VA","ODU "
"Unranked","Oral Roberts University","Tulsa, OK","ORU "
"Unranked","Portland State University","Portland, OR",
"Unranked","Regent University","Virginia Beach, VA",
"Unranked","South Dakota State University","Brookings, SD",
"Unranked","Spalding University","Louisville, KY",
"Unranked","Tennessee State University","Nashville, TN",
"Unranked","Texas A&M University, Commerce","Commerce, TX",
"Unranked","Texas A&M University, Kingsville","Kingsville, TX",
"Unranked","Texas Woman's University","Denton, TX",
"Unranked","Trevecca Nazarene University","Nashville, TN",
"Unranked","Trinity International University","Deerfield, IL",
"Unranked","University of Akron","Akron, OH",
"Unranked","University of Alaska, Fairbanks","Fairbanks, AK",
"Unranked","University of Arkansas, Little Rock","Little Rock, AR",
"Unranked","University of Bridgeport","Bridgeport, CT",
"Unranked","University of Houston","Houston, TX","U of H "
"Unranked","University of Louisiana, Lafayette","Lafayette, LA",
"Unranked","University of Massachusetts, Boston","Boston, MA",
"Unranked","University of Memphis","Memphis, TN",
"Unranked","University of Missouri, Kansas City","Kansas City, MO","UMKC "
"Unranked","University of Missouri, St. Louis","St. Louis, MO",
"Unranked","University of Nevada, Las Vegas","Las Vegas, NV",
"Unranked","University of New Mexico","Albuquerque, NM","UNM "
"Unranked","University of New Orleans","New Orleans, LA",
"Unranked","University of Northern Colorado","Greeley, CO",
"Unranked","University of North Texas","Denton, TX","UNT "
"Unranked","University of South Dakota","Vermillion, SD",
"Unranked","University of Southern Mississippi","Hattiesburg, MS",
"Unranked","University of Texas, Arlington","Arlington, TX","UTA "
"Unranked","University of Texas, El Paso","El Paso, TX",
"Unranked","University of Toledo","Toledo, OH",
"Unranked","University of West Florida","Pensacola, FL","UWF "
"Unranked","University of Wisconsin, Milwaukee","Milwaukee, WI",
"Unranked","Wayne State University","Detroit, MI",
"Unranked","Wichita State University","Wichita, KS",
"Unranked","Wright State University","Dayton, OH",
"Unranked","Union Institute and University","Cincinnati, OH",
"Unranked","Wilmington University","New Castle, DE",
